order_item_id,order_id,product_id,quantity
1,1,5,3
2,1,4,1
3,1,4,2
4,1,5,1
5,2,3,3
6,2,3,1
7,2,4,1
8,3,4,1
9,4,8,3
10,5,2,1
11,5,1,2
12,6,4,3
13,7,3,3
14,7,1,2
15,7,9,3
16,8,10,3
17,9,9,2
18,9,4,3
19,10,6,2
20,10,5,1
21,10,4,3
22,10,4,3
23,11,2,2
24,11,2,2
25,11,2,1
26,12,10,2
27,12,4,2
28,12,4,3
29,12,1,2
30,13,10,3
31,13,6,3
32,14,3,3
33,14,2,3
34,14,10,3
35,14,3,2
36,15,8,3
37,15,5,2
38,15,1,3
39,16,5,3
40,16,4,3
41,16,10,3
42,17,10,3
43,18,5,1
44,18,3,1
45,18,10,2
46,19,2,3
47,20,3,2
48,20,8,1
49,20,6,2
50,21,10,1
51,22,8,1
52,23,4,1
53,23,8,3
54,23,8,1
55,24,8,1
56,24,5,3
57,24,2,2
58,24,6,3
59,25,9,2
60,25,2,1
61,26,5,2
62,26,3,1
63,26,8,2
64,27,1,3
65,27,4,2
66,27,4,2
67,27,4,1
68,28,5,2
69,28,8,1
70,28,3,1
71,28,5,2
72,29,1,2
73,29,10,2
74,29,6,3
75,30,1,3
76,30,1,3
77,30,8,3
78,31,1,2
79,31,6,3
80,31,5,3
81,32,6,1
82,33,4,2
83,33,2,2
84,33,3,1
85,34,4,2
86,34,6,3
87,35,3,3
88,35,10,1
89,35,3,3
90,36,6,1
91,36,3,1
92,37,3,2
93,37,6,3
94,38,4,1
95,39,3,2
96,39,4,1
97,39,8,1
98,40,5,3
99,41,2,2
100,41,9,2
101,41,8,2
102,42,4,1
103,43,7,1
104,44,5,2
105,44,8,1
106,44,1,3
107,45,3,1
108,46,10,3
109,46,1,3
110,46,5,1
111,47,7,2
112,48,7,1
113,48,5,3
114,48,5,1
115,48,8,2
116,49,5,2
117,49,5,1
118,49,2,3
119,49,5,2
120,50,9,1
121,50,5,1
122,50,1,1
123,51,7,1
124,51,5,2
125,51,5,2
126,51,10,3
127,52,2,2
128,53,1,3
129,54,2,1
130,54,2,2
131,54,4,2
132,54,5,3
133,55,2,2
134,55,4,2
135,55,5,2
136,56,4,3
137,56,2,2
138,56,8,1
139,57,6,2
140,57,10,2
141,57,10,1
142,57,6,3
143,58,10,2
144,58,4,3
145,59,4,2
146,59,8,1
147,59,10,2
148,60,3,3
149,60,10,3
150,61,7,2
151,61,2,3
152,61,5,1
153,61,1,3
154,62,1,3
155,62,3,1
156,62,7,1
157,63,2,1
158,63,3,2
159,63,9,3
160,63,3,2
161,64,1,3
162,64,10,3
163,64,10,1
164,64,6,1
165,65,6,1
166,65,8,2
167,65,10,1
168,66,7,1
169,66,3,3
170,66,2,1
171,67,1,1
172,67,1,3
173,67,2,1
174,67,4,2
175,68,3,3
176,68,3,2
177,68,2,2
178,68,4,2
179,69,10,1
180,70,9,2
181,70,7,1
182,70,1,1
183,70,4,2
184,71,2,2
185,71,8,3
186,72,5,3
187,73,2,2
188,73,8,2
189,73,2,2
190,73,3,1
191,74,10,1
192,74,1,2
193,75,5,2
194,75,5,3
195,75,9,3
196,76,8,3
197,76,2,2
198,76,7,3
199,77,2,2
200,77,8,3
201,78,6,3
202,78,4,3
203,78,7,1
204,79,5,3
205,79,2,2
206,79,4,2
207,80,8,2
208,81,4,1
209,81,5,1
210,82,3,3
211,82,1,2
212,82,9,2
213,82,10,2
214,83,9,3
215,83,2,2
216,83,7,2
217,83,9,2
218,84,10,1
219,85,3,2
220,85,1,1
221,85,4,2
222,86,1,3
223,87,7,2
224,87,7,2
225,87,6,2
226,88,6,1
227,88,5,2
228,88,7,3
229,88,3,3
230,89,8,3
231,89,3,3
232,89,5,1
233,90,6,3
234,90,10,1
235,90,9,1
236,90,10,3
237,91,6,1
238,91,3,3
239,92,9,2
240,92,10,1
241,92,9,3
242,93,4,1
243,93,10,3
244,93,3,2
245,93,4,1
246,94,6,2
247,94,10,1
248,94,2,2
249,94,6,2
250,95,6,2
251,95,7,1
252,95,9,3
253,95,7,2
254,96,9,2
255,96,7,1
256,96,1,3
257,96,5,1
258,97,7,3
259,97,5,2
260,97,5,3
261,98,7,3
262,99,5,1
263,99,3,2
264,99,5,3
265,100,10,3
266,100,9,3
267,101,6,1
268,101,5,1
269,101,3,1
270,101,10,2
271,102,9,2
272,102,1,1
273,102,7,1
274,102,4,1
275,103,1,2
276,103,6,2
277,103,3,2
278,103,5,2
279,104,7,2
280,104,10,2
281,104,3,1
282,104,2,3
283,105,10,3
284,105,8,1
285,106,7,1
286,106,3,3
287,107,9,2
288,107,3,2
289,107,5,2
290,107,7,3
291,108,6,1
292,108,4,3
293,108,8,2
294,109,4,1
295,110,6,3
296,110,6,1
297,110,7,2
298,111,5,3
299,111,9,3
300,112,5,1
301,112,6,2
302,112,9,2
303,112,8,3
304,113,2,1
305,113,3,1
306,113,6,1
307,113,1,1
308,114,10,1
309,114,4,2
310,114,5,1
311,114,10,3
312,115,10,3
313,115,5,3
314,115,7,2
315,115,1,2
316,116,2,3
317,117,7,2
318,118,6,3
319,118,4,3
320,118,10,3
321,119,2,1
322,119,2,1
323,119,8,1
324,119,9,1
325,120,3,3
326,120,6,3
327,120,8,3
328,121,2,1
329,121,9,1
330,122,1,2
331,122,1,2
332,123,9,1
333,123,5,2
334,123,8,2
335,123,10,1
336,124,4,2
337,124,4,3
338,124,3,2
339,124,4,3
340,125,4,3
341,126,6,1
342,126,8,2
343,127,9,1
344,127,5,3
345,127,10,2
346,127,9,2
347,128,9,3
348,129,7,1
349,129,1,3
350,129,6,2
351,129,1,3
352,130,10,2
353,130,2,1
354,130,8,2
355,131,5,2
356,131,4,2
357,132,5,2
358,132,2,1
359,132,3,1
360,132,3,1
361,133,4,3
362,133,8,1
363,133,5,2
364,133,8,3
365,134,8,1
366,135,4,2
367,135,5,1
368,135,3,3
369,136,9,1
370,137,10,1
371,138,6,2
372,139,6,1
373,139,9,3
374,139,10,3
375,140,10,1
376,140,8,1
377,140,6,1
378,141,1,1
379,141,8,3
380,141,2,3
381,142,10,1
382,142,8,2
383,143,7,1
384,143,3,2
385,143,3,3
386,144,5,2
387,144,1,3
388,144,7,2
389,145,4,2
390,146,1,3
391,146,10,2
392,147,10,2
393,148,3,2
394,148,4,2
395,148,6,1
396,148,1,3
397,149,8,2
398,149,1,2
399,149,2,2
400,149,6,1
401,150,8,2
402,151,9,2
403,151,1,1
404,152,2,2
405,152,1,3
406,152,4,2
407,152,10,1
408,153,3,1
409,154,6,3
410,154,3,1
411,154,3,2
412,154,7,3
413,155,9,3
414,155,4,2
415,155,5,3
416,155,2,2
417,156,7,1
418,156,4,2
419,156,10,3
420,156,10,2
421,157,8,2
422,158,10,2
423,159,7,3
424,159,7,3
425,160,9,1
426,161,10,2
427,161,2,3
428,162,5,2
429,163,10,3
430,164,5,3
431,165,2,3
432,166,9,1
433,167,2,2
434,167,8,3
435,168,6,3
436,169,3,2
437,170,1,3
438,171,4,3
439,171,7,3
440,171,3,1
441,172,9,2
442,172,1,1
443,172,3,1
444,172,2,2
445,173,6,2
446,173,10,2
447,173,1,3
448,174,1,2
449,175,5,3
450,175,3,2
451,176,10,1
452,176,9,2
453,176,6,3
454,176,2,1
455,177,2,2
456,177,8,1
457,177,6,2
458,178,2,2
459,178,1,3
460,178,6,3
461,179,3,2
462,179,10,2
463,179,4,3
464,179,6,3
465,180,2,3
466,180,2,3
467,180,6,3
468,181,7,3
469,181,3,1
470,181,2,2
471,182,1,1
472,182,4,3
473,183,10,1
474,184,10,1
475,185,9,1
476,185,8,2
477,185,5,3
478,185,2,2
479,186,4,3
480,186,9,2
481,186,2,3
482,187,5,1
483,188,3,1
484,188,7,3
485,189,8,1
486,190,6,2
487,190,9,1
488,190,10,1
489,190,4,3
490,191,1,3
491,191,10,2
492,192,5,3
493,193,3,1
494,193,1,1
495,194,8,2
496,194,10,1
497,195,10,2
498,195,1,1
499,196,5,3
500,196,1,1
501,196,3,3
502,196,9,1
503,197,5,3
504,198,7,3
505,198,5,3
506,199,4,2
507,199,4,3
508,200,6,3
509,201,3,2
510,201,5,1
511,202,2,1
512,202,10,2
513,202,8,2
514,202,10,3
515,203,5,2
516,204,6,3
517,204,9,2
518,204,4,2
519,205,8,1
520,205,6,1
521,206,5,2
522,206,5,2
523,207,2,3
524,207,4,2
525,208,1,1
526,208,7,3
527,209,8,2
528,209,5,2
529,210,9,1
530,210,8,1
531,211,4,2
532,211,6,2
533,211,7,1
534,212,9,2
535,212,9,1
536,212,8,3
537,212,6,2
538,213,10,1
539,213,2,1
540,214,3,1
541,214,4,2
542,214,2,2
543,214,7,3
544,215,6,2
545,215,3,3
546,216,1,1
547,216,9,1
548,217,5,1
549,217,1,3
550,217,9,3
551,218,2,1
552,218,6,1
553,218,9,2
554,219,1,3
555,220,6,3
556,220,3,2
557,221,9,2
558,221,3,1
559,222,1,2
560,222,1,3
561,222,1,3
562,223,8,3
563,223,9,2
564,224,10,1
565,224,4,2
566,224,6,3
567,225,5,2
568,226,6,1
569,226,7,2
570,226,1,1
571,227,8,1
572,227,4,2
573,227,2,2
574,228,5,3
575,228,2,3
576,228,10,3
577,228,7,3
578,229,3,3
579,229,1,2
580,229,6,3
581,229,3,2
582,230,1,3
583,231,8,2
584,231,2,1
585,231,7,2
586,232,7,3
587,232,7,3
588,233,4,1
589,234,10,2
590,234,2,3
591,234,3,1
592,234,6,3
593,235,6,2
594,235,9,1
595,235,7,1
596,235,3,1
597,236,4,1
598,237,5,3
599,237,10,2
600,238,1,3
601,238,2,3
602,239,10,1
603,240,7,1
604,241,4,3
605,241,7,2
606,242,10,1
607,243,9,3
608,243,5,2
609,243,10,1
610,244,9,3
611,244,4,3
612,244,6,1
613,244,6,3
614,245,9,3
615,245,10,3
616,245,7,2
617,246,9,1
618,246,3,3
619,246,4,2
620,247,2,2
621,247,3,1
622,248,10,1
623,248,3,3
624,248,10,2
625,248,5,2
626,249,7,2
627,249,2,1
628,249,9,3
629,249,6,1
630,250,9,1
631,251,7,2
632,252,7,2
633,253,5,2
634,254,7,2
635,254,8,3
636,255,9,1
637,255,7,2
638,255,8,2
639,255,6,2
640,256,8,2
641,256,10,1
642,256,2,3
643,256,10,3
644,257,3,1
645,257,9,1
646,258,3,2
647,259,5,2
648,259,4,1
649,259,7,2
650,259,4,2
651,260,10,2
652,260,6,3
653,261,8,3
654,261,7,2
655,261,3,3
656,262,6,1
657,263,3,2
658,263,10,1
659,263,1,3
660,263,6,3
661,264,10,2
662,264,6,1
663,264,2,2
664,265,9,3
665,265,4,3
666,265,8,1
667,266,5,3
668,266,3,3
669,266,10,2
670,267,8,2
671,267,7,1
672,268,2,1
673,269,9,1
674,269,4,1
675,269,6,3
676,269,6,1
677,270,3,2
678,270,6,1
679,270,7,2
680,271,4,2
681,272,8,1
682,273,7,3
683,273,8,3
684,273,2,2
685,273,7,2
686,274,4,3
687,274,6,1
688,274,8,2
689,275,1,1
690,275,8,2
691,275,9,3
692,275,4,2
693,276,6,3
694,276,9,3
695,276,2,2
696,276,4,2
697,277,10,3
698,277,9,3
699,277,4,1
700,278,10,1
701,278,7,1
702,278,8,1
703,279,3,3
704,279,8,2
705,279,8,3
706,280,3,1
707,280,5,3
708,281,5,2
709,281,8,3
710,281,8,2
711,281,3,2
712,282,5,2
713,283,9,1
714,284,10,3
715,284,2,1
716,284,8,3
717,284,9,1
718,285,2,3
719,285,6,1
720,286,4,3
721,286,3,1
722,286,6,3
723,287,9,1
724,288,2,2
725,288,3,3
726,289,8,1
727,289,10,1
728,289,2,3
729,289,4,2
730,290,4,1
731,291,4,2
732,291,9,3
733,291,6,1
734,292,5,3
735,293,7,2
736,293,1,2
737,293,1,3
738,293,3,3
739,294,1,3
740,294,3,1
741,295,2,2
742,295,10,1
743,296,1,2
744,297,9,3
745,297,7,2
746,298,9,2
747,298,6,2
748,299,10,2
749,299,8,1
750,300,7,2
751,301,5,1
752,301,4,1
753,301,3,1
754,302,5,1
755,302,10,2
756,302,4,3
757,302,2,2
758,303,4,1
759,303,3,1
760,303,2,3
761,303,5,3
762,304,6,2
763,304,10,1
764,304,2,1
765,304,8,3
766,305,10,1
767,306,1,1
768,307,1,3
769,308,8,1
770,308,8,3
771,308,7,3
772,309,4,1
773,309,10,1
774,309,9,1
775,310,6,2
776,310,7,1
777,311,10,3
778,311,9,1
779,311,8,2
780,311,2,3
781,312,1,3
782,312,2,1
783,313,4,3
784,314,4,2
785,314,4,2
786,314,1,3
787,314,1,3
788,315,2,2
789,315,1,3
790,316,7,1
791,316,8,3
792,317,4,2
793,317,7,3
794,318,8,1
795,319,4,3
796,320,10,3
797,320,3,2
798,321,6,3
799,321,9,3
800,321,3,1
801,322,7,2
802,322,7,1
803,322,1,3
804,322,10,3
805,323,3,3
806,324,10,1
807,324,3,1
808,324,4,3
809,324,10,3
810,325,6,1
811,325,2,1
812,325,1,3
813,326,3,3
814,326,1,3
815,327,4,3
816,327,10,2
817,328,5,3
818,328,7,2
819,328,4,3
820,329,10,2
821,330,1,3
822,331,10,1
823,331,7,2
824,332,10,1
825,332,3,2
826,332,6,2
827,333,1,3
828,333,1,2
829,334,8,3
830,334,10,1
831,334,4,3
832,334,7,2
833,335,1,2
834,335,10,2
835,335,1,1
836,335,3,2
837,336,7,1
838,337,6,2
839,337,10,3
840,337,10,1
841,337,9,1
842,338,7,1
843,338,2,1
844,338,7,2
845,339,2,1
846,339,5,1
847,340,1,1
848,341,8,1
849,341,10,1
850,342,4,3
851,342,3,1
852,343,6,3
853,343,6,2
854,343,7,3
855,343,7,1
856,344,1,1
857,344,8,3
858,344,10,3
859,344,4,3
860,345,1,2
861,345,4,1
862,345,8,3
863,345,2,3
864,346,2,1
865,347,6,1
866,347,3,2
867,348,2,3
868,348,6,3
869,348,5,2
870,348,6,3
871,349,6,2
872,349,8,3
873,350,7,1
874,351,6,2
875,352,2,3
876,352,8,3
877,352,4,3
878,352,9,3
879,353,7,2
880,353,9,2
881,353,4,3
882,353,9,1
883,354,8,1
884,354,8,1
885,354,5,1
886,354,6,3
887,355,7,1
888,356,9,3
889,357,9,1
890,357,7,1
891,357,3,2
892,357,7,2
893,358,9,2
894,359,4,3
895,360,10,2
896,360,7,3
897,360,8,3
898,360,10,3
899,361,10,1
900,361,5,3
901,361,9,2
902,361,8,2
903,362,5,2
904,362,5,1
905,362,6,3
906,363,5,1
907,363,2,2
908,364,5,3
909,365,8,3
910,365,8,2
911,365,6,2
912,365,3,1
913,366,6,1
914,367,2,1
915,368,7,3
916,369,6,2
917,369,10,2
918,369,5,2
919,370,10,1
920,371,2,2
921,372,5,3
922,372,9,3
923,373,7,1
924,374,1,3
925,375,10,1
926,375,9,1
927,375,7,3
928,376,2,2
929,376,10,2
930,376,2,2
931,377,7,1
932,377,3,3
933,378,4,1
934,379,7,3
935,379,4,1
936,379,9,2
937,380,3,3
938,380,9,2
939,380,4,3
940,381,10,2
941,381,4,1
942,382,5,3
943,382,9,3
944,382,5,1
945,382,1,2
946,383,6,1
947,383,7,1
948,383,4,1
949,383,5,1
950,384,2,3
951,385,9,1
952,386,1,2
953,387,4,3
954,388,2,3
955,388,2,2
956,388,2,2
957,389,1,3
958,389,1,3
959,389,3,1
960,390,1,2
961,391,6,2
962,391,5,2
963,391,6,3
964,391,2,1
965,392,7,1
966,392,9,3
967,392,3,3
968,392,3,1
969,393,3,2
970,393,10,3
971,393,4,2
972,394,9,3
973,394,5,3
974,394,5,3
975,395,10,1
976,395,8,2
977,395,6,2
978,396,2,3
979,396,8,1
980,396,10,1
981,397,1,2
982,397,4,2
983,398,2,2
984,398,3,3
985,398,10,1
986,398,8,1
987,399,3,1
988,400,2,2
989,400,8,3
990,401,6,2
991,402,9,2
992,402,2,1
993,402,4,1
994,402,2,2
995,403,10,3
996,403,4,3
997,403,6,2
998,404,6,2
999,404,3,1
1000,404,7,1
1001,404,1,1
1002,405,3,3
1003,406,10,2
1004,406,1,3
1005,406,5,1
1006,406,4,2
1007,407,5,1
1008,407,9,3
1009,407,7,2
1010,407,4,2
1011,408,8,3
1012,408,1,1
1013,408,10,2
1014,408,6,3
1015,409,1,2
1016,409,6,3
1017,409,7,1
1018,409,3,3
1019,410,10,3
1020,410,1,2
1021,410,3,1
1022,411,9,3
1023,412,3,2
1024,412,4,3
1025,413,7,3
1026,413,9,2
1027,413,6,2
1028,414,4,3
1029,414,1,2
1030,414,2,3
1031,415,1,2
1032,415,5,2
1033,415,10,2
1034,415,5,1
1035,416,7,3
1036,416,5,1
1037,416,1,1
1038,416,5,3
1039,417,9,2
1040,417,9,2
1041,418,3,3
1042,419,6,1
1043,420,7,1
1044,421,2,2
1045,421,10,3
1046,421,1,2
1047,421,4,3
1048,422,8,3
1049,422,1,2
1050,422,3,3
1051,422,5,1
1052,423,4,2
1053,424,4,3
1054,424,3,1
1055,424,2,2
1056,425,9,2
1057,425,5,2
1058,425,6,2
1059,425,6,2
1060,426,5,2
1061,426,2,2
1062,426,7,2
1063,427,9,1
1064,427,6,2
1065,427,4,1
1066,427,7,3
1067,428,8,3
1068,428,8,1
1069,428,3,1
1070,428,1,2
1071,429,5,2
1072,429,10,2
1073,429,6,1
1074,430,6,3
1075,430,9,3
1076,430,7,2
1077,430,3,1
1078,431,1,1
1079,431,10,3
1080,431,1,1
1081,432,2,1
1082,433,2,3
1083,433,9,1
1084,434,7,2
1085,434,4,3
1086,434,1,2
1087,434,1,2
1088,435,7,2
1089,435,9,3
1090,436,3,1
1091,436,5,3
1092,436,6,1
1093,437,2,3
1094,437,6,2
1095,438,8,1
1096,439,10,3
1097,440,2,1
1098,440,6,1
1099,440,2,3
1100,440,3,3
1101,441,1,2
1102,441,1,2
1103,441,9,2
1104,442,3,3
1105,442,9,1
1106,442,4,1
1107,442,6,1
1108,443,7,2
1109,443,1,1
1110,443,3,2
1111,444,3,1
1112,445,7,2
1113,445,2,2
1114,446,3,3
1115,447,7,2
1116,447,1,1
1117,447,5,1
1118,447,6,1
1119,448,9,3
1120,448,10,1
1121,448,6,2
1122,449,8,3
1123,449,8,1
1124,449,9,1
1125,449,10,2
1126,450,4,1
1127,450,3,2
1128,450,7,2
1129,450,5,2
1130,451,4,2
1131,452,8,1
1132,452,7,3
1133,453,7,2
1134,454,7,2
1135,454,2,2
1136,454,9,1
1137,454,9,3
1138,455,6,3
1139,456,10,2
1140,456,7,3
1141,457,8,2
1142,457,3,1
1143,458,9,3
1144,458,6,3
1145,458,6,1
1146,459,5,1
1147,459,8,3
1148,460,10,3
1149,460,6,2
1150,460,5,3
1151,461,4,2
1152,461,5,2
1153,461,2,2
1154,462,8,3
1155,462,9,3
1156,463,3,1
1157,464,3,2
1158,464,6,1
1159,464,7,2
1160,465,1,3
1161,465,7,3
1162,465,6,3
1163,466,1,1
1164,466,5,3
1165,466,2,3
1166,467,8,3
1167,467,4,1
1168,467,3,2
1169,468,1,2
1170,469,1,2
1171,469,7,3
1172,469,10,2
1173,469,1,1
1174,470,5,1
1175,470,3,3
1176,471,1,3
1177,471,6,3
1178,471,2,2
1179,471,1,3
1180,472,7,3
1181,472,10,2
1182,472,1,3
1183,472,9,1
1184,473,8,1
1185,474,2,2
1186,474,3,2
1187,474,6,2
1188,475,5,2
1189,475,3,3
1190,475,4,1
1191,476,5,2
1192,477,5,1
1193,477,10,1
1194,477,5,3
1195,477,6,2
1196,478,3,3
1197,478,3,3
1198,478,1,1
1199,479,9,2
1200,480,5,3
1201,481,5,1
1202,481,6,1
1203,481,6,3
1204,481,7,2
1205,482,10,2
1206,482,8,1
1207,482,4,3
1208,482,3,1
1209,483,9,1
1210,483,10,1
1211,484,3,3
1212,484,8,3
1213,484,4,1
1214,485,4,2
1215,485,5,3
1216,486,8,3
1217,486,2,1
1218,486,6,2
1219,486,4,2
1220,487,5,2
1221,487,2,3
1222,487,3,1
1223,488,4,1
1224,488,5,1
1225,488,9,3
1226,488,8,3
1227,489,9,1
1228,489,2,2
1229,489,8,1
1230,490,9,1
1231,490,5,3
1232,490,4,3
1233,490,3,2
1234,491,10,2
1235,491,2,3
1236,491,10,3
1237,492,10,1
1238,492,9,3
1239,492,4,1
1240,492,4,1
1241,493,7,3
1242,494,8,3
1243,494,3,1
1244,494,4,2
1245,494,7,1
1246,495,3,3
1247,496,2,3
1248,497,1,3
1249,497,2,1
1250,497,9,2
1251,497,8,1
1252,498,5,2
1253,498,1,3
1254,498,5,3
1255,499,9,2
1256,499,8,1
1257,499,4,3
1258,499,1,1
1259,500,5,2
1260,501,8,1
1261,501,2,1
1262,502,9,3
1263,502,8,2
1264,502,4,1
1265,503,10,2
1266,503,3,2
1267,503,1,2
1268,503,6,3
1269,504,1,3
1270,505,5,2
1271,505,2,3
1272,505,5,1
1273,506,2,3
1274,506,10,1
1275,507,10,3
1276,507,2,1
1277,507,5,1
1278,507,1,3
1279,508,10,1
1280,508,10,3
1281,508,5,2
1282,508,10,3
1283,509,4,1
1284,509,6,1
1285,509,3,2
1286,509,4,2
1287,510,8,2
1288,510,2,2
1289,510,8,1
1290,511,3,2
1291,511,6,3
1292,511,4,2
1293,511,2,1
1294,512,1,2
1295,512,4,1
1296,512,1,2
1297,512,5,3
1298,513,4,3
1299,514,9,3
1300,514,10,1
1301,514,8,1
1302,514,2,3
1303,515,3,2
1304,515,3,2
1305,515,10,3
1306,515,10,3
1307,516,2,3
1308,516,4,1
1309,516,3,3
1310,516,7,2
1311,517,4,1
1312,517,6,1
1313,518,4,2
1314,518,5,3
1315,518,10,2
1316,518,8,3
1317,519,2,2
1318,519,3,3
1319,519,4,2
1320,519,5,3
1321,520,4,3
1322,521,8,3
1323,521,5,1
1324,522,9,3
1325,523,6,1
1326,523,4,2
1327,524,6,1
1328,524,7,1
1329,524,10,1
1330,524,6,1
1331,525,9,1
1332,525,4,2
1333,525,5,2
1334,526,9,2
1335,526,5,1
1336,527,2,1
1337,527,4,1
1338,527,9,1
1339,528,2,2
1340,529,8,3
1341,529,5,3
1342,529,8,2
1343,530,3,2
1344,530,3,2
1345,530,9,1
1346,531,6,3
1347,531,8,3
1348,532,3,2
1349,533,2,3
1350,533,2,3
1351,534,6,1
1352,535,8,2
1353,535,3,2
1354,536,9,2
1355,536,10,3
1356,536,9,3
1357,537,3,3
1358,537,10,1
1359,537,10,3
1360,538,4,2
1361,538,4,3
1362,538,2,1
1363,539,8,3
1364,540,2,2
1365,540,3,3
1366,540,6,1
1367,540,2,3
1368,541,5,2
1369,542,4,2
1370,542,5,3
1371,543,2,3
1372,543,3,3
1373,543,9,2
1374,543,9,1
1375,544,7,3
1376,544,7,3
1377,545,2,1
1378,545,4,2
1379,545,5,2
1380,545,4,1
1381,546,9,2
1382,547,3,2
1383,548,4,3
1384,549,5,3
1385,549,10,3
1386,549,5,3
1387,549,10,1
1388,550,3,3
1389,550,6,1
1390,550,9,1
1391,551,6,1
1392,551,9,2
1393,552,7,1
1394,552,4,3
1395,553,7,3
1396,554,1,1
1397,554,6,2
1398,555,4,2
1399,556,2,2
1400,556,1,1
1401,557,7,3
1402,557,3,2
1403,557,1,1
1404,557,4,2
1405,558,4,3
1406,558,8,2
1407,559,9,3
1408,560,9,3
1409,560,8,3
1410,561,5,1
1411,562,9,2
1412,563,6,2
1413,563,10,1
1414,564,6,1
1415,564,6,3
1416,564,2,1
1417,564,4,3
1418,565,7,1
1419,565,1,2
1420,565,6,3
1421,566,4,2
1422,566,7,3
1423,567,5,2
1424,567,1,1
1425,567,6,2
1426,567,8,3
1427,568,7,2
1428,568,3,3
1429,568,1,2
1430,568,9,3
1431,569,1,3
1432,569,6,2
1433,569,9,3
1434,569,10,1
1435,570,2,2
1436,571,3,2
1437,571,9,1
1438,571,10,2
1439,571,10,2
1440,572,10,1
1441,572,5,3
1442,572,6,1
1443,573,5,2
1444,573,10,3
1445,573,3,3
1446,573,9,1
1447,574,4,3
1448,574,8,1
1449,574,9,3
1450,574,3,1
1451,575,10,2
1452,576,9,3
1453,576,1,2
1454,576,4,2
1455,577,8,3
1456,578,10,1
1457,578,6,3
1458,578,6,1
1459,578,9,1
1460,579,9,2
1461,579,6,1
1462,580,1,2
1463,580,9,1
1464,580,7,3
1465,581,9,2
1466,581,10,1
1467,581,7,2
1468,582,9,2
1469,582,1,3
1470,582,8,3
1471,582,1,3
1472,583,3,1
1473,584,5,3
1474,584,3,1
1475,585,8,3
1476,585,2,1
1477,585,1,2
1478,585,3,2
1479,586,7,3
1480,586,4,2
1481,586,3,2
1482,586,4,1
1483,587,10,2
1484,588,1,3
1485,588,9,3
1486,589,9,2
1487,589,6,1
1488,590,9,1
1489,590,8,1
1490,590,7,3
1491,591,9,1
1492,591,5,3
1493,591,6,3
1494,592,6,3
1495,593,8,2
1496,593,1,2
1497,593,10,2
1498,593,10,1
1499,594,7,3
1500,594,4,3
1501,594,5,1
1502,594,7,1
1503,595,10,1
1504,595,2,1
1505,595,7,3
1506,595,4,1
1507,596,1,2
1508,596,2,3
1509,596,10,3
1510,596,3,3
1511,597,3,2
1512,597,8,3
1513,597,2,1
1514,597,3,1
1515,598,7,2
1516,598,1,1
1517,598,1,3
1518,599,8,1
1519,600,8,1
1520,601,6,3
1521,601,9,3
1522,602,2,1
1523,603,3,2
